"","asin","asin_2","title_lower","chr_len_dynamic","real_name_norm","real_name_chr_len","is_the_same","need_fix"
"1","B08LVXG2V1","B08LVXG2V1","bellissima my pro imetec diffon ceramic, diffusore ad aria calda per capelli ricci, tecnologia ceramica, 700 w, 2 combinazioni aria/temperatura, asciugatura delicata senza effetto crespo","186","0","1","FALSE","Fix Me Please My Lord"
"2","B07Y8DPHCL","B07Y8DPHCL","bellissima imetec p3 3400 asciugacapelli con motore ac professionale, tecnologia a ioni per capelli morbidi, idratati e luminosi, griglia rivestita in ceramica, 2400 w di potenza","178","0","1","FALSE","Fix Me Please My Lord"
"3","B07FZ4PVRP","B07FZ4PVRP","bellissima my pro imetec steam b28 100 piastra per capelli professionale a vapore, effetto liscio a lungo, ceramica, temperatura regolabile 170°c - 200°c - 230°c, riscaldamento rapido","183","0","1","FALSE","Fix Me Please My Lord"
"4","B07FYHM3QY","B07FYHM3QY",NA,NA,"0","1",NA,NA
"5","B07S5L8VYG","B07S5L8VYG",NA,NA,"0","1",NA,NA
"6","B06WGV3DBP","B06WGV3DBP","bellissima my pro imetec beach waves gt20 100 piastra per capelli a onde larghe e strette, rivestimento in ceramica, temperatura regolabile","139","0","1","FALSE","Fix Me Please My Lord"
"7","B08NKXBJX1","B08NKXBJX1","bellissima my pro imetec beach waves gt20 400 piastra per capelli per onde larghe e strette, rivestimento in ceramica, temperatura regolabile 160 c°- 200°c","155","0","1","FALSE","Fix Me Please My Lord"
"8","B07W3VJQZD","B07W3VJQZD","bellissima my pro imetec gh18 1100 modellatore ad aria, rivestimento spazzole in ceramica, 5 accessori per realizzare capelli lisci e luminosi, a onde morbide o ricci stretti, 1000 w","182","0","1","FALSE","Fix Me Please My Lord"
"9","B08J8XH5BH","B08J8XH5BH",NA,NA,"0","1",NA,NA
"10","B08J8XNFNC","B08J8XNFNC",NA,NA,"0","1",NA,NA
"11","B08J8XCSH4","B08J8XCSH4","bellissima my pro imetec gt22 120, accessorio sculpted curls per styler arricciacapelli twist & style, ferro riscaldato da 11 mm, rivestimento in ceramica, temperatura 185°c","173","0","1","FALSE","Fix Me Please My Lord"
"12","B08J8XCSHB","B08J8XCSHB","bellissima my pro imetec gt22 130, accessorio loose waves per styler arricciacapelli twist&style, ferro riscaldato ad ellisse, diametro da 26 a 38 mm, rivestimento ceramica, temperatura 190°c","191","0","1","FALSE","Fix Me Please My Lord"
"13","B08J8XN21F","B08J8XN21F",NA,NA,"0","1",NA,NA
"14","B09CTZ6WKM","B09CTZ6WKM",NA,NA,"0","1",NA,NA
"15","B09CTZZGFY","B09CTZZGFY","bellissima my pro imetec gt22 160, accessorio hollywood waves per styler arricciacapelli twist&style, rivestimento in ceramica, temperatura 190°c, ovale, diametro 38 x 25 mm","173","0","1","FALSE","Fix Me Please My Lord"
"16","B07JVLQ38M","B07JVLQ38M","bellissima my pro imetec ceramic p5 3800 asciugacapelli professionale per capelli morbidi e luminosi, tecnologia ceramica, 2300 w","129","0","1","FALSE","Fix Me Please My Lord"
"17","B082WSYYCX","B082WSYYCX",NA,NA,"0","1",NA,NA
"18","B082WSZXHB","B082WSZXHB",NA,NA,"0","1",NA,NA
"19","B09CTY5P2L","B09CTY5P2L",NA,NA,"0","1",NA,NA
"20","B09SGB55N4","B09SGB55N4",NA,NA,"0","1",NA,NA
"21","B015O6A6GM","B015O6A6GM",NA,NA,"0","1",NA,NA
"22","B00G3DNXIE","B00G3DNXIE",NA,NA,"0","1",NA,NA
"23","B07Y8DHN3F","B07Y8DHN3F","imetec eco se9 1000 asciugacapelli con tecnologia eco technology 1400 w, consumo energetico ridotto, 8 combinazioni aria/temperatura, diffusore per capelli ricci","161","0","1","FALSE","Fix Me Please My Lord"
"24","B015O6AFPE","B015O6AFPE","imetec c20 2100 asciugacapelli, 2100 w, beccuccio orientabile, diffusore professionale, funzione fast drying per un'asciugatura rapida, 4 combinazioni aria/temperatura, colpo aria fredda, cavo 1.8 m","198","0","1","FALSE","Fix Me Please My Lord"
"25","B00O4QVS66","B00O4QVS66","bellissima imetec p2 2200 asciugacapelli professionale, potenza 2200 w, tecnologia a ioni per idratare i capelli e ridurre l'effetto crespo, 8 combinazioni aria/temperatura, beccuccio stretto","191","0","1","FALSE","Fix Me Please My Lord"
"26","B093C19CSD","B093C19CSD",NA,NA,"0","1",NA,NA
"27","B079Z9GXQS","B079Z9GXQS","imetec salon expert p5 3600 asciugacapelli professionale, 2300 w, griglia con rivestimento in ceramica e cheratina, tecnologia a ioni, 8 combinazioni aria/temperatura, 2 beccucci","178","0","1","FALSE","Fix Me Please My Lord"
"28","B09ZJ9QXZY","B09ZJ9QXZY",NA,NA,"0","1",NA,NA
"29","B07S5L9937","B07S5L9937",NA,NA,"0","1",NA,NA
"30","B072MSQDQG","B072MSQDQG",NA,NA,"0","1",NA,NA
"31","B00RP0J7AW","B00RP0J7AW",NA,NA,"0","1",NA,NA
"32","B00VYLJ4H4","B00VYLJ4H4",NA,NA,"0","1",NA,NA
"33","B015O6A68K","B015O6A68K",NA,NA,"0","1",NA,NA
"34","B079FN8N4T","B079FN8N4T",NA,NA,"0","1",NA,NA
"35","B00HLUUNOK","B00HLUUNOK",NA,NA,"0","1",NA,NA
"36","B075RGG4Y5","B075RGG4Y5",NA,NA,"0","1",NA,NA
"37","B01N55NF5G","B01N55NF5G","bellissima imetec creativity color shine b22 100 piastra per capelli colorati, rivestimento in tessuto per la protezione dei capelli, temperatura regolabile da 150°c a 230°c","173","0","1","FALSE","Fix Me Please My Lord"
"38","B06WP9PPT6","B06WP9PPT6","bellissima imetec intellisense b24 100 piastra intelligente, capelli lisci o mossi, protetti senza calore eccessivo, temperatura automatica su misura per tutti i capelli, rivestimento in ceramica","195","0","1","FALSE","Fix Me Please My Lord"
"39","B09BJ7LNR6","B09BJ7LNR6","bellissima imetec steam elixir, piastra a vapore, capelli lisci in una sola passata senza danni, rivestimento in ceramica e olio argan, rapido riscaldamento, 4 temperature, tappetino termoresistente","198","0","1","FALSE","Fix Me Please My Lord"
"40","B08X7BYVZQ","B08X7BYVZQ",NA,NA,"0","1",NA,NA
"41","B09BHV4DWG","B09BHV4DWG",NA,NA,"0","1",NA,NA
"42","B00N4K5PDK","B00N4K5PDK",NA,NA,"0","1",NA,NA
"43","B00SKVYB6K","B00SKVYB6K","bellissima imetec gt13 50 arricciacapelli, rivestimento in ceramica, 7 diversi livelli di temperatura da 150°c a 210°c, diametro di 25 mm, riscaldamento rapido, pronto all'uso","175","0","1","FALSE","Fix Me Please My Lord"
"44","B075RFR2CV","B075RFR2CV",NA,NA,"0","1",NA,NA
"45","B00VRGPXF8","B00VRGPXF8",NA,NA,"0","1",NA,NA
"46","B0B9HC9HSR","B0B9HC9HSR",NA,NA,"0","1",NA,NA
"47","B0BFBDBJK2","B0BFBDBJK2",NA,NA,"0","1",NA,NA
"48","B0BFGMJSV6","B0BFGMJSV6",NA,NA,"0","1",NA,NA
"49","B0BFBDBJK2","B0BFBDBJK2",NA,NA,"0","1",NA,NA
"50","B0987B62CP","B0987B62CP",NA,NA,"0","1",NA,NA
"51","B0987BTDT2","B0987BTDT2",NA,NA,"0","1",NA,NA
"52","B0987C6H2S","B0987C6H2S",NA,NA,"0","1",NA,NA
"53","B0987D9K2X","B0987D9K2X",NA,NA,"0","1",NA,NA
"54","B0987D6J4J","B0987D6J4J",NA,NA,"0","1",NA,NA
"55","B0987C1JFD","B0987C1JFD","imetec eco ceramic, termoventilatore, stufetta elettrica, tecnologia ceramica, basso consumo energetico, silenzioso, 3 livelli di temperatura, termostato ambiente","162","0","1","FALSE","Fix Me Please My Lord"
"56","B0987CNV93","B0987CNV93","imetec eco rapid, stufa elettrica 2000 w, tecnologia a basso consumo energetico, termoconvettore 4 temperature, termostato ambiente, silenzioso","143","0","1","FALSE","Fix Me Please My Lord"
"57","B0987BBB14","B0987BBB14",NA,NA,"0","1",NA,NA
"58","B00FM266R2","B00FM266R2","imetec dolcevita es4 bilancia elettronica da cucina, pesa solidi e liquidi, contenitore estraibile, scala graduata, portata 5 kg, divisione 1 g, funzione tara, display digitale, spegnimento automatico","200","0","1","FALSE","Fix Me Please My Lord"
"59","B076998CD8","B076998CD8",NA,NA,"0","1",NA,NA
"60","B08JVC7VB4","B08JVC7VB4",NA,NA,"0","1",NA,NA
"61","B08R7NM2SF","B08R7NM2SF",NA,NA,"0","1",NA,NA
"62","B08JV8L49M","B08JV8L49M",NA,NA,"0","1",NA,NA
"63","B08R7NSVL5","B08R7NSVL5","imetec grantoast, tostapane per toast extra farciti, fessure xl, pinze a fondo chiuso apribili a 360° e regolabili in larghezza, 600 w, 10 livelli doratura, timer","162","0","1","FALSE","Fix Me Please My Lord"
"64","B08NPR8QNN","B08NPR8QNN",NA,NA,"0","1",NA,NA
"65","B08NPMMFWQ","B08NPMMFWQ",NA,NA,"0","1",NA,NA
"66","B0BDVBHWWD","B0BDVBHWWD","imetec cakelover, impastatrice planetaria per dolci, creme e impasti salati, accessoriata, compatta, 1500w, fruste, pale e ganci, contenitore inox, 5 litri, 6 velocità, ricettario","179","0","1","FALSE","Fix Me Please My Lord"
"67","B08JV8FFYH","B08JV8FFYH","imetec griglia&gusta bistecchiera, piastre antiaderenti removibili, rivestimento triplo strato al titanio stone-look, grill con 7 posizioni, 3 funzioni di cottura, thermo control, 2000 watt","189","0","1","FALSE","Fix Me Please My Lord"
"68","B08JV87TZW","B08JV87TZW","imetec succovivo sj4 1300 estrattore di succo professionale a freddo, spremitura lenta 50 giri/min, filtro per succhi, accessorio per granite e sorbetti, pulizia in 2 minuti","173","0","1","FALSE","Fix Me Please My Lord"
"69","B09K7ZS81N","B09K7ZS81N","imetec friggileggero - friggitrice ad aria multifunzione, 12 programmi, riscaldamento rapido, 18 l, 1550 w, comandi digitali, cestello, griglia, leccarda, ricettario, 40x36x34,5 cm","180","0","1","FALSE","Fix Me Please My Lord"
"70","B01JOL22Y2","B01JOL22Y2",NA,NA,"0","1",NA,NA
"71","B08NK25BLP","B08NK25BLP","imetec frulla&crea frullatore a immersione, 3 accessori, tritatutto, frusta e bicchiere bpa free, piede large, 2 velocità, 1000 w, 15000 giri minuto","148","0","1","FALSE","Fix Me Please My Lord"
"72","B08NPF5HWD","B08NPF5HWD",NA,NA,"0","1",NA,NA
"73","B08NPR9BYM","B08NPR9BYM",NA,NA,"0","1",NA,NA
"74","B09CYM6KR3","B09CYM6KR3",NA,NA,"0","1",NA,NA
"75","B09CYDKRZ6","B09CYDKRZ6",NA,NA,"0","1",NA,NA
"76","B0711KBY99","B0711KBY99",NA,NA,"0","1",NA,NA
