"","asin","asin_2","real_name_norm","real_name_chr_len","title_lower","chr_len_dynamic","is_the_same","need_fix"
"1","B09BHV4DWG","B09BHV4DWG","0","1",NA,NA,NA,NA
"2","B082WSYYCX","B082WSYYCX","0","1","bellissima imetec asciugacapelli k9 2300 asciuga e mantiene idratati i capelli senza effetto crespo, 2300 w, tecnologia a ioni, 8 combinazioni flusso d'aria temperatura, diffusore capellli ricci","194","FALSE","Fix Me Please My Lord"
"3","B082WSZXHB","B082WSZXHB","0","1",NA,NA,NA,NA
"4","B072MSQDQG","B072MSQDQG","0","1",NA,NA,NA,NA
"5","B00RP0J7AW","B00RP0J7AW","0","1",NA,NA,NA,NA
"6","B079FN8N4T","B079FN8N4T","0","1",NA,NA,NA,NA
"7","B0BQC5XRMF","B0BQC5XRMF","0","1",NA,NA,NA,NA
"8","B09CTY5P2L","B09CTY5P2L","0","1",NA,NA,NA,NA
"9","B00HLUUNOK","B00HLUUNOK","0","1",NA,NA,NA,NA
"10","B075RGG4Y5","B075RGG4Y5","0","1",NA,NA,NA,NA
"11","B00VYLJ4H4","B00VYLJ4H4","0","1",NA,NA,NA,NA
"12","B015O6A68K","B015O6A68K","0","1",NA,NA,NA,NA
"13","B09ZJ9QXZY","B09ZJ9QXZY","0","1","bellissima imetec creativity ceramic & tourmaline, piastra per capelli, liscio o mosso, rivestimento in ceramica e tormalina, regolazione temperatura da 150-230°c, riscaldamento rapido","184","FALSE","Fix Me Please My Lord"
"14","B01N55NF5G","B01N55NF5G","0","1",NA,NA,NA,NA
"15","B0BFBDBJK2","B0BFBDBJK2","0","1",NA,NA,NA,NA
"16","B09SGB55N4","B09SGB55N4","0","1",NA,NA,NA,NA
"17","B00N4K5PDK","B00N4K5PDK","0","1",NA,NA,NA,NA
"18","B00SKVYB6K","B00SKVYB6K","0","1",NA,NA,NA,NA
"19","B00VRGPXF8","B00VRGPXF8","0","1",NA,NA,NA,NA
"20","B075RFR2CV","B075RFR2CV","0","1",NA,NA,NA,NA
"21","B06WP9PPT6","B06WP9PPT6","0","1",NA,NA,NA,NA
"22","B0B9HC9HSR","B0B9HC9HSR","0","1",NA,NA,NA,NA
"23","B07FYHM3QY","B07FYHM3QY","0","1","bellissima imetec magic straight brush pb11 100 spazzola elettrica lisciante, 3 lati esterni riscaldati, spegnimento automatico, tecnologia a ioni, ceramica, 160 c°- 210°c","171","FALSE","Fix Me Please My Lord"
"24","B07S5L9937","B07S5L9937","0","1","bellissima imetec my pro creativity infrared b8 200, piastra lisciante, tecnologia raggi infrarossi, rivestimento in ceramica e cheratina, 11 livelli di temperatura da 130 °c a 230 °c, cavo 1,8 m","195","FALSE","Fix Me Please My Lord"
"25","B08X7BYVZQ","B08X7BYVZQ","0","1",NA,NA,NA,NA
"26","B015O6A6GM","B015O6A6GM","0","1",NA,NA,NA,NA
"27","B00O4QVS66","B00O4QVS66","0","1",NA,NA,NA,NA
"28","B07Y8DPHCL","B07Y8DPHCL","0","1",NA,NA,NA,NA
"29","B00G3DNXIE","B00G3DNXIE","0","1",NA,NA,NA,NA
"30","B0BNL2X57R","B0BNL2X57R","0","1",NA,NA,NA,NA
"31","B09BJ7LNR6","B09BJ7LNR6","0","1",NA,NA,NA,NA
"32","B06WGV3DBP","B06WGV3DBP","0","1",NA,NA,NA,NA
"33","B08NKXBJX1","B08NKXBJX1","0","1",NA,NA,NA,NA
"34","B07JVLQ38M","B07JVLQ38M","0","1",NA,NA,NA,NA
"35","B08LVXG2V1","B08LVXG2V1","0","1",NA,NA,NA,NA
"36","B07W3VJQZD","B07W3VJQZD","0","1",NA,NA,NA,NA
"37","B08J8XNFNC","B08J8XNFNC","0","1",NA,NA,NA,NA
"38","B08J8XCSH4","B08J8XCSH4","0","1",NA,NA,NA,NA
"39","B08J8XCSHB","B08J8XCSHB","0","1",NA,NA,NA,NA
"40","B08J8XN21F","B08J8XN21F","0","1",NA,NA,NA,NA
"41","B09CTZ6WKM","B09CTZ6WKM","0","1",NA,NA,NA,NA
"42","B09CTZZGFY","B09CTZZGFY","0","1",NA,NA,NA,NA
