"","asin","asin_2","title_lower","chr_len_dynamic","real_name_norm","real_name_chr_len","is_the_same","need_fix","X..i.."
"1","B09BHV4DWG","B09BHV4DWG","bellissima imetec air wonder, spazzola ad aria calda, tecnologia a ioni, spazzole rivestite in ceramica e cheratina, asciuga, dona volume, 8 accessori, 1000 w","158","0","1","FALSE","Fix Me Please My Lord",NA
"2","B082WSYYCX","B082WSYYCX","bellissima imetec asciugacapelli k9 2300 asciuga e mantiene idratati i capelli senza effetto crespo, 2300 w, tecnologia a ioni, 8 combinazioni flusso d'aria temperatura, diffusore capellli ricci","194","0","1","FALSE","Fix Me Please My Lord",NA
"3","B082WSZXHB","B082WSZXHB","bellissima imetec asciugacapelli s9 2200 asciuga e modella con precisione, 2200 w, 8 combinazioni flusso d'aria temperatura, beccuccio di precisione, colpo aria fredda","167","0","1","FALSE","Fix Me Please My Lord",NA
"4","B072MSQDQG","B072MSQDQG","bellissima imetec b26 100 piastra per capelli lunghi o difficili da disciplinare, formato extra large, rivestimento in ceramica, 160° c - 230° c","144","0","1","FALSE","Fix Me Please My Lord",NA
"5","B00RP0J7AW","B00RP0J7AW","bellissima imetec b9 100 piastra per capelli, piastra extralunghe, riscaldamento rapido, multivoltaggio automatico, temperatura 210°, cavo giravole","147","0","1","FALSE","Fix Me Please My Lord",NA
"6","B079FN8N4T","B079FN8N4T","bellissima imetec bm 200 piastra mini per capelli lisci e luminosi, temperatura 200°, multivoltaggio automatico, dimensioni compatte da viaggio","143","0","1","FALSE","Fix Me Please My Lord",NA
"7","B0BQC5XRMF","B0BQC5XRMF","bellissima imetec ceramic & argan oil 6in1, spazzola ad aria calda, 6 accessori, ionizzatore, spazzole rivestite in ceramica e olio di argan, asciuga, volumizza, colpo aria fredda, 1000 w, idea regalo","200","0","1","FALSE","Fix Me Please My Lord",NA
"8","B09CTY5P2L","B09CTY5P2L","bellissima imetec creativity 4 you, asciugacapelli professionale, 4 accessori, diffusore, controllo intelligente della temperatura, ion technology, beauty bag, 2 velocità, 3 temperature, 1800 w","193","0","1","FALSE","Fix Me Please My Lord",NA
"9","B00HLUUNOK","B00HLUUNOK","bellissima imetec creativity b15 50 piastra per capelli, styling liscio o mosso, rivestimento in nanoceramica, regolazione della temperatura da 140°c a 230°c, piastre oscillanti","177","0","1","FALSE","Fix Me Please My Lord",NA
"10","B075RGG4Y5","B075RGG4Y5","bellissima imetec creativity b27 100 piastra per capelli con rivestimento in ceramica e controllo della temperatura, temperatura regolabile 150°c / 230°c","153","0","1","FALSE","Fix Me Please My Lord",NA
"11","B00VYLJ4H4","B00VYLJ4H4","bellissima imetec creativity b9 300 piastra per capelli, styling liscio o mosso, rivestimento in ceramica, regolazione temperatura da 150°c a 230°c, sistema riscaldamento rapido","177","0","1","FALSE","Fix Me Please My Lord",NA
"12","B015O6A68K","B015O6A68K",NA,NA,"0","1",NA,NA,NA
"13","B09ZJ9QXZY","B09ZJ9QXZY","bellissima imetec creativity ceramic & tourmaline, piastra per capelli, liscio o mosso, rivestimento in ceramica e tormalina, regolazione temperatura da 150-230°c, riscaldamento rapido","184","0","1","FALSE","Fix Me Please My Lord",NA
"14","B01N55NF5G","B01N55NF5G","imetec bellissima my pro creativity color shine b22 100 piastra per capelli colorati, rivestimento in tessuto per la protezione dei capelli, temperatura regolabile da 150°c a 230°c","180","0","1","FALSE","Fix Me Please My Lord",NA
