"","asin","asin_2","real_name_norm","real_name_chr_len","title_lower","chr_len_dynamic","is_the_same","need_fix"
"1","B09BHV4DWG","B09BHV4DWG","0","1",NA,NA,NA,NA
"2","B082WSYYCX","B082WSYYCX","0","1",NA,NA,NA,NA
"3","B082WSZXHB","B082WSZXHB","0","1",NA,NA,NA,NA
"4","B072MSQDQG","B072MSQDQG","0","1",NA,NA,NA,NA
"5","B00RP0J7AW","B00RP0J7AW","0","1",NA,NA,NA,NA
"6","B079FN8N4T","B079FN8N4T","0","1",NA,NA,NA,NA
"7","B0BQC5XRMF","B0BQC5XRMF","0","1","bellissima imetec ceramic & argan oil 6in1, spazzola ad aria calda, 6 accessori, ionizzatore, spazzole rivestite in ceramica e olio di argan, asciuga, volumizza, colpo aria fredda, 1000 w, idea regalo","200","FALSE","Fix Me Please My Lord"
"8","B09CTY5P2L","B09CTY5P2L","0","1",NA,NA,NA,NA
"9","B00HLUUNOK","B00HLUUNOK","0","1",NA,NA,NA,NA
"10","B075RGG4Y5","B075RGG4Y5","0","1",NA,NA,NA,NA
"11","B00VYLJ4H4","B00VYLJ4H4","0","1","bellissima imetec creativity b9 300 piastra per capelli, styling liscio o mosso, rivestimento in ceramica, regolazione temperatura da 150°c a 230°c, sistema riscaldamento rapido","177","FALSE","Fix Me Please My Lord"
"12","B015O6A68K","B015O6A68K","0","1",NA,NA,NA,NA
"13","B09ZJ9QXZY","B09ZJ9QXZY","0","1","bellissima imetec creativity ceramic & tourmaline, piastra per capelli, liscio o mosso, rivestimento in ceramica e tormalina, regolazione temperatura da 150-230°c, riscaldamento rapido","184","FALSE","Fix Me Please My Lord"
"14","B01N55NF5G","B01N55NF5G","0","1","imetec bellissima my pro creativity color shine b22 100 piastra per capelli colorati, rivestimento in tessuto per la protezione dei capelli, temperatura regolabile da 150°c a 230°c","180","FALSE","Fix Me Please My Lord"
"15","B0BFBDBJK2","B0BFBDBJK2","0","1",NA,NA,NA,NA
"16","B09SGB55N4","B09SGB55N4","0","1","bellissima imetec diffon supreme, diffusore ad aria calda per capelli ricci, diffusore xl con 12 dita, tecnologia ceramica&argan oil, 2 velocità, 3 temperature, asciugatura delicata","181","FALSE","Fix Me Please My Lord"
"17","B00N4K5PDK","B00N4K5PDK","0","1",NA,NA,NA,NA
"18","B00SKVYB6K","B00SKVYB6K","0","1",NA,NA,NA,NA
"19","B00VRGPXF8","B00VRGPXF8","0","1",NA,NA,NA,NA
"20","B075RFR2CV","B075RFR2CV","0","1","bellissima gt15 200 ferro arricciacapelli, rivestimento in ceramica, per fare boccoli, ricci stretti e definiti, temperatura 150°c / 210°c, cono 18 / 25 mm, guanto termico, adatto a tutti i capelli","197","FALSE","Fix Me Please My Lord"
"21","B06WP9PPT6","B06WP9PPT6","0","1",NA,NA,NA,NA
"22","B0B9HC9HSR","B0B9HC9HSR","0","1","bellissima imetec kit bellezza capelli con asciugacapelli professionale, tecnologia ceramica e cheratina e piastra lisciante a vapore, rivestimento in ceramica e cheratina, idea regalo","184","FALSE","Fix Me Please My Lord"
"23","B07FYHM3QY","B07FYHM3QY","0","1",NA,NA,NA,NA
"24","B07S5L9937","B07S5L9937","0","1",NA,NA,NA,NA
"25","B08X7BYVZQ","B08X7BYVZQ","0","1",NA,NA,NA,NA
"26","B015O6A6GM","B015O6A6GM","0","1",NA,NA,NA,NA
"27","B00O4QVS66","B00O4QVS66","0","1","bellissima imetec p2 2200 asciugacapelli professionale, potenza 2200 w, tecnologia a ioni per idratare i capelli e ridurre l'effetto crespo, 8 combinazioni aria/temperatura, beccuccio stretto","191","FALSE","Fix Me Please My Lord"
"28","B07Y8DPHCL","B07Y8DPHCL","0","1",NA,NA,NA,NA
"29","B00G3DNXIE","B00G3DNXIE","0","1",NA,NA,NA,NA
"30","B0BNL2X57R","B0BNL2X57R","0","1",NA,NA,NA,NA
"31","B09BJ7LNR6","B09BJ7LNR6","0","1","bellissima imetec steam elixir, piastra a vapore, capelli lisci in una sola passata senza danni, rivestimento in ceramica e olio argan, rapido riscaldamento, 4 temperature, tappetino termoresistente","198","FALSE","Fix Me Please My Lord"
"32","B06WGV3DBP","B06WGV3DBP","0","1",NA,NA,NA,NA
"33","B08NKXBJX1","B08NKXBJX1","0","1",NA,NA,NA,NA
"34","B07JVLQ38M","B07JVLQ38M","0","1","bellissima my pro imetec ceramic p5 3800 asciugacapelli professionale per capelli morbidi e luminosi, tecnologia ceramica, potenza 2300 w, ionizzatore, diffusore e convogliatore ceramico","186","FALSE","Fix Me Please My Lord"
"35","B08LVXG2V1","B08LVXG2V1","0","1",NA,NA,NA,NA
"36","B07W3VJQZD","B07W3VJQZD","0","1",NA,NA,NA,NA
"37","B08J8XNFNC","B08J8XNFNC","0","1",NA,NA,NA,NA
"38","B08J8XCSH4","B08J8XCSH4","0","1","bellissima my pro imetec gt22 120, accessorio sculpted curls per styler arricciacapelli twist & style, ferro riscaldato da 11 mm, rivestimento in ceramica, temperatura 185°c","173","FALSE","Fix Me Please My Lord"
"39","B08J8XCSHB","B08J8XCSHB","0","1",NA,NA,NA,NA
"40","B08J8XN21F","B08J8XN21F","0","1","bellissima my pro imetec gt22 140 accessorio glamour waves per styler arricciacapelli twist&style, ferro riscaldato forma conica, diametro 13/38 mm, rivestimento in ceramica, temperatura 190°c","192","FALSE","Fix Me Please My Lord"
"41","B09CTZ6WKM","B09CTZ6WKM","0","1","bellissima my pro imetec gt22 150 accessorio mermaid waves per styler arricciacapelli twist&style, ferro riscaldato forma bubbles, diametro 25 mm, rivestimento in ceramica, temperatura 190°c","190","FALSE","Fix Me Please My Lord"
"42","B09CTZZGFY","B09CTZZGFY","0","1",NA,NA,NA,NA
"43","B07S5L8VYG","B07S5L8VYG","0","1","bellissima my pro imetec magic style brush p2 30 spazzola riscaldata, capelli liscio effetto naturale/mosso sostenuto, diametro 30 mm, tecnologia a ioni, rivestimento ceramica","175","FALSE","Fix Me Please My Lord"
"44","B07FZ4PVRP","B07FZ4PVRP","0","1","imetec bellissima my pro steam b28 100 piastra per capelli professionale a vapore, effetto liscio a lungo, ceramica, temperatura regolabile 170°c - 200°c - 230°c, riscaldamento rapido","183","FALSE","Fix Me Please My Lord"
"45","B08J8XH5BH","B08J8XH5BH","0","1",NA,NA,NA,NA
"46","B0BFGMJSV6","B0BFGMJSV6","0","1","bellissima imetec twist&style arricciacapelli, manico + 4 accessori per ricci e onde, temperatura automatica, riscaldamento rapido, rivestimento in ceramica, orientabile a 90°, idea regalo","188","FALSE","Fix Me Please My Lord"
"47","B015O6AFPE","B015O6AFPE","0","1","imetec c20 2100 asciugacapelli, 2100 w, beccuccio orientabile, diffusore professionale, funzione fast drying per un'asciugatura rapida, 4 combinazioni aria/temperatura, colpo aria fredda, cavo 1.8 m","198","FALSE","Fix Me Please My Lord"
"48","B07Y8DHN3F","B07Y8DHN3F","0","1",NA,NA,NA,NA
"49","B093C19CSD","B093C19CSD","0","1","imetec salon expert p3 3600 asciugacapelli, motore professionale, 2200 w, ionizzatore, griglia ceramica e tormalina, 8 combinazioni aria temperatura, concentratore e diffusore professionali","189","FALSE","Fix Me Please My Lord"
"50","B079Z9GXQS","B079Z9GXQS","0","1","imetec salon expert p5 3600 asciugacapelli professionale, 2300 w, griglia con rivestimento in ceramica e cheratina, tecnologia a ioni, 8 combinazioni aria/temperatura, 2 beccucci","178","FALSE","Fix Me Please My Lord"
"51","B0987D6J4J","B0987D6J4J","0","1",NA,NA,NA,NA
"52","B0987BBB14","B0987BBB14","0","1",NA,NA,NA,NA
"53","B0987C1JFD","B0987C1JFD","0","1",NA,NA,NA,NA
"54","B0987CNV93","B0987CNV93","0","1","imetec eco rapid, stufa elettrica 2000 w, tecnologia a basso consumo energetico, termoconvettore 4 temperature, termostato ambiente, silenzioso","143","FALSE","Fix Me Please My Lord"
"55","B0987B62CP","B0987B62CP","0","1",NA,NA,NA,NA
"56","B0987BTDT2","B0987BTDT2","0","1","imetec silent power eco, termoventilatore silenzioso, stufetta elettrica, tecnologia eco -35% consumo energetico, 2100 w, funzione antigelo, temperatura regolabile, 4 funzioni, termostato ambiente","196","FALSE","Fix Me Please My Lord"
"57","B0987D9K2X","B0987D9K2X","0","1",NA,NA,NA,NA
"58","B0987C6H2S","B0987C6H2S","0","1",NA,NA,NA,NA
"59","B08NPG5D5Y","B08NPG5D5Y","0","1",NA,NA,NA,NA
"60","B0BDVBHWWD","B0BDVBHWWD","0","1","imetec cakelover, impastatrice planetaria di 5 lt per dolci, creme, pizza, pane, pasta - 1500w, 6 velocità, con ciotola in acciaio inox, doppio gancio, fruste - design compatto, ricettario incluso","196","FALSE","Fix Me Please My Lord"
"61","B08JVC7VB4","B08JVC7VB4","0","1",NA,NA,NA,NA
